,count
toast,14
lives,14
17,14
ahead,14
fair,14
gives,14
swear,14
dirty,14
jail,14
level,14
busta,14
glass,14
sweat,14
says,14
tears,14
nerd,14
popular,14
mirror,14
grass,14
pissin,14
feed,14
tracks,14
week,14
juice,14
died,14
diddy,14
breakin,14
giant,14
bikinis,14
american,14
undeniable,14
color,14
building,14
travel,14
kicked,14
fore,14
dollars,14
clip,14
owe,14
clock,14
hail,14
killing,14
tall,14
bet,14
phat,14
company,14
finna,14
christopher,14
gods,14
critics,14
pounds,14
packed,14
community,14
seven,14
plan,13
sunday,13
buzz,13
camino,13
store,13
gats,13
buzzed,13
windows,13
signal,13
rain,13
akon,13
tree,13
ducking,13
dress,13
tellin,13
disease,13
bein,13
relax,13
missy,13
sell,13
special,13
psycho,13
crashed,13
artist,13
bizkit,13
speed,13
fools,13
food,13
crackin,13
killer,13
unforgettable,13
return,13
human,13
lane,13
angels,13
makes,13
hole,13
industry,13
nuttin,13
afford,13
washed,13
hov,13
raised,13
fuckers,13
sky,13
diamond,13
rule,13
blue,13
wow,13
killed,13
weapon,13
bank,13
lantern,13
lust,13
wallace,13
stamina,13
melt,13
blade,13
drank,13
jeans,13
cookie,13
boulevard,13
charge,13
fan,13
400,13
falling,13
position,13
faded,13
elliott,13
loco,13
chew,13
laying,13
calling,12
solve,12
gloves,12
playaz,12
weighing,12
vision,12
hes,12
float,12
introducing,12
santana,12
bumpin,12
dons,12
burbs,12
moanin,12
ear,12
golden,12
happen,12
consensus,12
elephant,12
truck,12
jokes,12
concrete,12
juelz,12
extended,12
pack,12
nation,12
stargod,12
group,12
handle,12
cray,12
undisputed,12
symbol,12
guessin,12
cking,12
kay,12
knowing,12
click,12
knife,12
state,12
precision,12
killin,12
jim,12
sales,12
pistol,12
baw,12
cap,12
story,12
fifth,12
veli,12
duck,12
reach,12
alarm,12
stable,12
begins,12
mister,12
begin,12
jack,12
mistake,12
feelings,12
coulda,12
valley,12
megamix,12
letter,12
stones,12
beast,12
headed,12
sent,12
cookies,12
tony,12
camera,12
shoe,12
apple,12
throne,12
1an,12
wave,12
summer,12
dig,12
pudgee,12
shooting,12
pleasure,12
mack,12
shh,12
strong,12
generation,12
ansere,12
monte,12
bitchin,12
14th,12
pole,12
ignorant,12
voice,12
bridge,12
luck,12
shoulda,12
strip,12
thugg,12
suckers,12
thrown,12
booty,12
blast,12
nose,12
gangstas,12
peric,12
witness,12
tie,12
bt,12
faggot,11
disgusts,11
army,11
venture,11
goodbye,11
plot,11
blind,11
cracking,11
vengeance,11
card,11
wide,11
meant,11
booth,11
wind,11
carlo,11
wife,11
murders,11
hopping,11
elephants,11
napalm,11
entered,11
train,11
hero,11
10,11
piss,11
wine,11
finger,11
bent,11
mark,11
nights,11
drivin,11
175,11
mushed,11
ruthless,11
players,11
nightmare,11
dro,11
sake,11
label,11
poppa,11
worcestershire,11
11,11
needle,11
toe,11
trio,11
success,11
stone,11
waddle,11
mood,11
hustle,11
health,11
dogs,11
nephew,11
chill,11
shook,11
parties,11
grey,11
standing,11
sawed,11
certain,11
aim,11
east,11
aight,11
jeep,11
hooked,11
quake,11
chickity,11
20,11
jordan,11
mac,11
struggle,11
throat,11
ren,11
taught,11
treat,11
snap,11
cashis,11
rapes,11
gangster,11
fellas,11
promise,11
chandon,11
concert,11
fans,11
elementary,11
popsicle,11
concerts,11
wack,11
muthaf,11
waco,11
thugs,11
vest,11
spin,11
dorado,11
44,11
wear,11
dangerous,11
lo,11
static,11
deserve,11
load,11
warm,11
vinyl,11
collision,11
kickin,11
redeem,11
squad,11
cliff,11
keeping,11
shitted,11
stress,11
barely,11
uncle,11
hours,11
nursery,11
vietnam,11
tough,11
longer,11
diabolical,11
classy,11
knowin,11
im,11
ballin,11
type,11
dot,11
reigned,11
inch,11
assaults,11
cross,11
mami,11
tusk,11
30,11
bands,11
wants,11
rally,11
rocks,11
cabbage,11
signs,11
thousand,11
mmm,11
slide,11
holding,11
assume,11
underneath,11
kissed,11
cell,10
charts,10
trice,10
stood,10
gin,10
imma,10
fade,10
row,10
brown,10
trey,10
hypnotize,10
bar,10
size,10
stacks,10
trend,10
2001,10
flesh,10
repeat,10
louis,10
clear,10
heaven,10
doors,10
sleepin,10
favorite,10
remix,10
sittin,10
walked,10
playa,10
motherfuck,10
bouncers,10
sunny,10
triggers,10
bay,10
tongue,10
wearin,10
sees,10
recent,10
cocaine,10
circle,10
wheels,10
misery,10
blowin,10
radar,10
triple,10
funds,10
climbin,10
boom,10
blacks,10
walking,10
hotter,10
hitting,10
joke,10
freeze,10
naw,10
circles,10
whinin,10
expose,10
crawl,10
hella,10
savage,10
limit,10
profit,10
broken,10
mosh,10
homey,10
takes,10
wassup,10
victory,10
explode,10
isn,10
po,10
career,10
plans,10
draws,10
promote,10
drinking,10
speakin,10
shoulder,10
queen,10
movie,10
lab,10
dressin,10
mess,10
startin,10
callin,10
pictures,10
finale,10
broads,10
enemy,10
rugged,10
pool,10
michael,10
icky,10
regular,10
deadly,10
arm,10
rowdy,10
months,10
rappin,10
timothy,10
action,10
quote,10
grinding,10
spun,10
vroom,10
cat,10
bond,10
anger,10
unconscious,10
riots,10
starts,10
trunk,10
coke,9
kilo,9
consider,9
twice,9
bail,9
units,9
harm,9
near,9
pride,9
mall,9
horn,9
naww,9
eh,9
status,9
swerve,9
pocket,9
slut,9
tip,9
boots,9
claiming,9
shimmy,9
joint,9
waste,9
hotbox,9
en,9
pulling,9
hated,9
steal,9
knuckleheads,9
laugh,9
offices,9
packin,9
hungry,9
backwards,9
observe,9
pickets,9
faces,9
blunt,9
justice,9
stink,9
tied,9
chick,9
scary,9
recite,9
12,9
slippin,9
arms,9
laid,9
showed,9
spoke,9
droppin,9
interscope,9
goddamn,9
nuh,9
shoulders,9
trailer,9
finish,9
sellin,9
caking,9
numb,9
foot,9
homeboy,9
necks,9
21,9
dropped,9
artists,9
peep,9
helped,9
lines,9
